datasetKey,sectorKey,alias,action,category,explanation,examples,publisher,size,title,url
298649,49115,Bukejs2011,block,digitisation error,"misspelt Cercion (for Cercyon) placed in Hydrophilidae, homonym of the damselfly genus","Cercion [Animalia/Insecta/Coleoptera/Hydrophilidae] vs Navás, 1907 [Animalia/Insecta/Odonata/Coenagrionidae]",Plazi.org taxonomic treatments database,400,"Materials About The Fauna Of Beetles (Insecta: Coleoptera) Of Naujene Rural Municipality (Daugavpils District, Latvia). Part 3",https://www.checklistbank.org/dataset/298649
32374,52041,FernandezTriana2017,block,digitisation error,"truncated genus ""Micro"" (Microplitis sofron) created under Braconidae","Micro [Animalia/Insecta/Hymenoptera/Braconidae] vs González-Sponga, 1987 [Animalia/Arachnida/Opiliones/Zalmoxidae]",Plazi.org taxonomic treatments database,37,"An annotated and illustrated checklist of Microgastrinae wasps (Hymenoptera, Braconidae) from the Canadian Arctic Archipelago and Greenland",https://www.checklistbank.org/dataset/32374
51063,36978,Hodgson2005,block,digitisation error,superfamily Coccoidea digitised as a genus,Coccoidea [Animalia/Insecta/Hemiptera] vs ? [Fungi/Dothideomycetes/Capnodiales/Coccoideaceae],Plazi.org taxonomic treatments database,22,The adult males of Coccoidea (Hemiptera: Sternorrhyncha) known from Greenland,https://www.checklistbank.org/dataset/51063
23368,12052,Zidek2018,block,digitisation error,"Scarabaeus (Scarabaeolus) species digitised under a genus ""Scutellum""","Scutellum [Animalia/Insecta/Coleoptera/Scarabaeidae] vs Pusch, 1833 [Animalia/Trilobita/Corynexochida/Styginidae]",Plazi.org taxonomic treatments database,85,"New species of the Scarabaeus subgenus Scarabaeolus Balthasar, with a review of the subgenus (Scarabaeidae: Scarabaeinae: Scarabaeini)",https://www.checklistbank.org/dataset/23368
31522,57437,Alvani2016,block,host plant association,host plant Pistacia placed under Pratylenchidae (Nematoda),Pistacia [Animalia/Chromadorea/Rhabditida/Pratylenchidae] vs L. [Plantae/Magnoliopsida/Sapindales/Anacardiaceae],Plazi.org taxonomic treatments database,44,"A checklist of the family Pratylenchidae Thorne, 1949 from Iran",https://www.checklistbank.org/dataset/31522
310153,61653,AWad2024,block,host plant association,plant Ocimum placed under Lepidoptera,Ocimum [Animalia/Insecta/Lepidoptera] vs L. [Plantae/Magnoliopsida/Lamiales/Lamiaceae],Plazi.org taxonomic treatments database,3,"Towards Sustainable Pest Management: Toxicity, Biochemical Effects, and Molecular Docking Analysis of Ocimum basilicum (Lamiaceae) Essential Oil on Agrotis ipsilon and Spodoptera littoralis (Lepidoptera: Noctuidae)",https://www.checklistbank.org/dataset/310153
47571,33601,Barjadze2011,block,host plant association,host plant Cephalaria placed under Aphididae,Cephalaria [Animalia/Insecta/Hemiptera/Aphididae] vs Schrad. [Plantae/Magnoliopsida/Dipsacales/Caprifoliaceae],Plazi.org taxonomic treatments database,6,A new species of Aphis Linnaeus (Hemiptera: Aphididae) from Cephalaria gigantea (Dipsacaceae) in Georgia,https://www.checklistbank.org/dataset/47571
20727,57353,Boano2022,block,host plant association,plant Adansonia placed under Anatidae,"Adansonia [Animalia/Aves/Anseriformes/Anatidae] vs Saville-Kent, 1897 [Animalia/Arachnida/Araneae/Theridiidae]",Zoosystema,1215,An annotated checklist of the birds of Burkina Faso,https://www.checklistbank.org/dataset/20727
44991,31096,Cavalleri2012,block,host plant association,host plant Hancornia placed under Thripidae,Hancornia [Animalia/Insecta/Thysanoptera/Thripidae] vs Gomes [Plantae/Magnoliopsida/Gentianales/Apocynaceae],Plazi.org taxonomic treatments database,30,"Toward the identification of Frankliniella species in Brazil (Thysanoptera, Thripidae)",https://www.checklistbank.org/dataset/44991
9535,9115,Corrêa2020,block,host plant association,host plant Anadenanthera placed under Coleoptera,Anadenanthera [Animalia/Insecta/Coleoptera] vs Speg. [Plantae/Magnoliopsida/Fabales/Fabaceae],Plazi.org taxonomic treatments database,83,"Species survey of the subfamily Cerambycinae (Coleoptera: Cerambycidae) in the Rio Doce State Park, Minas Gerais, Brazil",https://www.checklistbank.org/dataset/9535
178561,43094,Duerr2022,block,host plant association,Poaceae host plants placed under Hesperiidae,Lasiacis [Animalia/Insecta/Lepidoptera/Hesperiidae] vs (Griseb.) Hitchc. [Plantae/Liliopsida/Poales/Poaceae]; Pariana [Animalia/Insecta/Lepidoptera/Hesperiidae] vs Aubl. [Plantae/Liliopsida/Poales/Poaceae],Plazi.org taxonomic treatments database,7,"Immature stages, new host plant records and shelter structures of Troyus phyllides (Röber, 1925) and Thoon ponka Evans, 1955 in the Peruvian Amazon (Lepidoptera Hesperiidae: Hesperiinae: Hesperiini)",https://www.checklistbank.org/dataset/178561
27163,51435,Ebinghaus2018,block,host plant association,rust fungus Ravenelia placed under host Fabaceae,"Ravenelia [Plantae/Magnoliopsida/Fabales/Fabaceae] vs Berk., 1853 [Fungi/Pucciniomycetes/Pucciniales/Raveneliaceae]",Plazi.org taxonomic treatments database,4,"Raveneliapiepenbringiae and Raveneliahernandezii, two new rust species on Senegalia (Fabaceae, Mimosoideae) from Panama and Costa Rica",https://www.checklistbank.org/dataset/27163
31448,57436,Golovatch2016,block,host plant association,Picea placed under Polydesmidae (millipedes),Picea [Animalia/Diplopoda/Polydesmidae] vs A.Dietr. [Plantae/Pinopsida/Pinales/Pinaceae],Plazi.org taxonomic treatments database,20,The millipede family Polydesmidae in the Caucasus (Diplopoda: Polydesmida),https://www.checklistbank.org/dataset/31448
21131,10243,HernándezOrtiz2015,block,host plant association,host plant Dieffenbachia placed under Richardiidae,Dieffenbachia [Animalia/Insecta/Diptera/Richardiidae] vs Schott [Plantae/Liliopsida/Alismatales/Araceae],Plazi.org taxonomic treatments database,6,A new species of the Neotropical genus Beebeomyia (Diptera: Richardiidae) with observations of its biology on Dieffenbachia oerstedii (Araceae),https://www.checklistbank.org/dataset/21131
264444,44494,Isaka2021,block,host plant association,fungus Fulvifomes placed under host plant Meliaceae,Fulvifomes [Plantae/Magnoliopsida/Sapindales/Meliaceae] vs Murrill [Fungi/Agaricomycetes/Hymenochaetales/Hymenochaetaceae],Plazi.org taxonomic treatments database,3,Limonoids from fruiting bodies of the wood-rot basidiomycete Fulvifomes xylocarpicola associated with the mangrove tree Xylocarpus granatum,https://www.checklistbank.org/dataset/264444
285321,46244,Ivanov2016,block,host plant association,oomycete Pythium placed under host Araliaceae,"Pythium [Plantae/Magnoliopsida/Apiales/Araliaceae] vs N.Pringsheim, 1858 [Chromista/Peronosporea/Peronosporales/Pythiaceae]",Plazi.org taxonomic treatments database,3,The chemoattractant potential of ginsenosides in the ginseng - Pythium irregulare pathosystem,https://www.checklistbank.org/dataset/285321
22653,11497,Jameson2010,block,host plant association,scarab Peltonotus placed under host plant Araceae,"Peltonotus Burmeister, 1847 [Plantae/Liliopsida/Alismatales/Araceae] vs Burmeister, 1847 [Animalia/Insecta/Coleoptera/Scarabaeidae]",ZooKeys,7,"Synopsis of the aroid scarabs in the genus Peltonotus Burmeister (Scarabaeidae, Dynastinae, Cyclocephalini) from Sumatra and description of a new species",https://www.checklistbank.org/dataset/22653
27388,15383,Kirichenko2019,block,host plant association,moth Phyllonorycter placed under host plant Fabaceae,"Phyllonorycter [Plantae/Magnoliopsida/Fabales/Fabaceae] vs Hübner, 1822 [Animalia/Insecta/Lepidoptera/Gracillariidae]",Plazi.org taxonomic treatments database,4,New species of leaf-mining Phyllonorycter (LepidopteraGracillariidae) from Siberia feeding on Caragana (Fabaceae),https://www.checklistbank.org/dataset/27388
49847,35806,Magnacca2008,block,host plant association,drosophilid Scaptomyza placed under host plant Lamiaceae,"Scaptomyza [Plantae/Magnoliopsida/Lamiales/Lamiaceae] vs Hardy, 1850 [Animalia/Insecta/Diptera/Drosophilidae]",Plazi.org taxonomic treatments database,8,A review of the endemic Hawaiian Drosophilidae and their host plants,https://www.checklistbank.org/dataset/49847
